Label,Message,Message_Length,Word_Count,Sentence_Count,Transformed_Message,Clean_Length
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,23,1,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,85
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,16,1,k fyi x ride earli tomorrow morn he crash place tonight,55
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,55,7,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass,147
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,3,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,97
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,1,know mallika sherawat yesterday find lturlgt,44
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,27,4,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss,92
ham,"Sorry, I'll call later in meeting.",34,6,2,sorri ill call later meet,25
ham,Tell where you reached,22,4,1,tell reach,10
ham,Yes..gauti and sehwag out of odi series.,40,7,4,yesgauti sehwag odi seri,24
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,23,4,gonna pick burger way home cant even move pain kill,51
ham,Ha ha ha good joke. Girls are situation seekers.,48,9,3,ha ha ha good joke girl situat seeker,37
ham,Its a part of checking IQ,25,6,1,part check iq,13
ham,"Sorry my roommates took forever, it ok if I come by now?",56,12,1,sorri roommat took forev ok come,32
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,3,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,86
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,28,2,valu custom pleas advis follow recent review mob award å£ bonu prize call,73
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,23,6,today song dedic day song u dedic send ur valuabl frnd first rpli,65
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,22,4,urgent ur award complimentari trip eurodisinc trav acoentri å£ claim txt di å£morefrmmob shracomorsglsuplt ls aj,112
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,15,1,hear new divorc barbi come ken stuff,36
ham,I plane to give on this month end.,34,8,2,plane give month end,20
ham,Wah lucky man... Then can save money... Hee...,46,8,10,wah lucki man save money hee,28
ham,Finished class where are you.,29,5,2,finish class,12
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,10,1,hi babe im home wanna someth xx,31
ham,K..k:)where are you?how did you performed?,42,6,3,kkwhere youhow perform,22
ham,U can call me now...,20,5,4,u call,6
ham,I am waiting machan. Call me once you free.,43,9,3,wait machan call free,21
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,14,3,that cool gentleman treat digniti respect,41
ham,I like you peoples very much:) but am very shy pa.,50,11,2,like peopl much shi pa,22
ham,Does not operate after  &lt;#&gt;  or what,42,7,1,oper ltgt,9
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,16,4,still look job much ta earn,27
ham,"Sorry, I'll call later",22,4,1,sorri ill call later,20
ham,K. Did you call me just now ah? ,32,8,2,k call ah,9
ham,Ok i am on the way to home hi hi,32,10,1,ok way home hi hi,17
ham,You will be in the place of that man,36,9,1,place man,9
ham,Yup next stop.,14,3,2,yup next stop,13
ham,"I call you later, don't have network. If urgnt, sms me.",55,11,3,call later dont network urgnt sm,32
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,3,real u get yo need ticket one jacket im done alreadi use multi,62
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,31,4,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro,89
ham,I'm really not up to it still tonight babe,42,9,1,im realli still tonight babe,28
ham,"Ela kano.,il download, come wen ur free..",41,7,4,ela kanoil download come wen ur free,36
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,10,1,yeah donû÷t stand close tho youû÷ll catch someth,50
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,39,4,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri,111
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,26,1,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,111
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,23,1,pleas call custom servic repres ampm guarante å£ cash å£ prize,62
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,20,3,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,83
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,22,4,free rington wait collect simpli text password mix verifi get usher britney fml,79
ham,Watching telugu movie..wat abt u?,33,5,3,watch telugu moviewat abt u,27
ham,i see. When we finish we have loads of loans to pay,51,12,2,see finish load loan pay,24
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,39,4,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,103
ham,Please don't text me anymore. I have nothing else to say.,57,11,3,pleas dont text anymor noth els say,35
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,21,1,okay name ur price long legal wen pick u ave x am xx,52
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,16,3,im still look car buy gone drive test yet,41
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,36,5,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,116
ham,Umma my life and vava umma love you lot dear,44,10,1,umma life vava umma love lot dear,33
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,17,3,thank lot wish birthday thank make birthday truli memor,55
ham,"Aight, I'll hit you up when I get some cash",43,10,1,aight ill hit get cash,22
ham,How would my ip address test that considering my computer isn't a minecraft server,82,14,1,would ip address test consid comput isnt minecraft server,57
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,24,6,know grumpi old peopl mom like better lie alway one play joke,61
ham,Dont worry. I guess he's busy.,30,6,3,dont worri guess he busi,24
ham,What is the plural of the noun research?,40,8,1,plural noun research,20
ham,Going for dinner.msg you after.,31,5,3,go dinnermsg,12
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,24,4,im ok wif co like tri new thing scare u dun like mah co u said loud,67
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,27,6,gent tri contact last weekend draw show å£ prize guarante call claim code k valid hr ppm,88
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,24,10,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen,106
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,6,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went,82
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,27,1,winner u special select receiv å£ holiday flight inc speak live oper claim pmin,79
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,12,1,goodo ye must speak friday eggpotato ratio tortilla need,56
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,15,6,hmmmi uncl inform he pay school directli pl buy food,52
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,2,privat account statement show unredeem bonu point claim call identifi code expir,80
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,26,2,urgent mobil award å£ bonu caller prize final tri contact u call landlin boxwrc ppm,83
ham,here is my new address -apples&pairs&all that malarky,53,8,1,new address applespairsal malarki,33
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,27,2,today voda number end select receiv award match pleas call quot claim code standard rate app,92
ham,I am going to sao mu today. Will be done only at 12 ,52,13,2,go sao mu today done,20
ham,ÌÏ predict wat time Ì_'ll finish buying?,40,7,1,ìï predict wat time ìll finish buy,34
ham,"Good stuff, will do.",20,4,2,good stuff,10
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,46,5,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis,113
ham,Are you there in room.,22,5,2,room,4
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,2,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,74
ham,K..k:)how much does it cost?,28,5,3,kkhow much cost,15
ham,I'm home.,9,2,2,im home,7
ham,"Dear, will call Tmorrow.pls accomodate.",39,5,3,dear call tmorrowpl accomod,27
ham,First answer my question.,25,4,2,first answer question,21
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,25,3,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr å£ sptyron,85
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,28,4,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsgp,118
ham,I only haf msn. It's yijue@hotmail.com,38,6,3,haf msn yijuehotmailcom,23
ham,He is there. You call and meet him,34,8,2,call meet,9
ham,No no. I will check all rooms befor activities,46,9,2,check room befor activ,22
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,32,2,youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,94
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,20,13,got c lazi type forgot ì lect saw pouch like v nice,51
ham,"K, text me when you're on the way",33,8,1,k text your way,15
ham,"Sir, Waiting for your mail.",27,5,2,sir wait mail,13
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,26,7,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni,106
ham,I know you are. Can you pls open the back?,42,10,2,know pl open back,17
ham,Yes see ya not on the dot,25,7,1,ye see ya dot,13
ham,Whats the staff name who is taking class for us?,48,10,1,what staff name take class us,29
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,29,3,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end,106
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,15,4,ummmawil call check inour life begin qatar pl pray hard,55
ham,K..i deleted my contact that why?,33,6,3,ki delet contact,16
ham,Sindu got job in birla soft ..,30,7,3,sindu got job birla soft,24
ham,The wine is flowing and i'm i have nevering..,45,9,3,wine flow im never,18
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,15,2,yup thk cine better co need go plaza mah,40
ham,Ok... Ur typical reply...,25,4,7,ok ur typic repli,17
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,80,7,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,195
ham,Aaooooright are you at work?,28,5,1,aaooooright work,16
ham,I'm leaving my house now...,27,5,4,im leav hous,12
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,33,2,hello love get interview today happi good boy think mear miss,61
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,19,3,custom servic annonc new year deliveri wait pleas call arrang deliveri,70
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,27,1,winner u special select receiv å£ cash holiday flight inc speak live oper claim,79
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,24,1,keep safe need miss alreadi envi everyon see real life,54
ham,New car and house for my parents.:)i have only new job in hand:),64,13,2,new car hous parentsi new job hand,34
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,19,4,im love im excit day spend make happi,37
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,24,4,pl stop bootydeli f invit friend repli ye see stop send stop frnd,65
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,30,5,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu,109
ham,I place all ur points on e cultures module already.,51,10,2,place ur point e cultur modul alreadi,37
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,27,5,urgent tri contact last weekend draw show å£ prize guarante call claim code valid hr,84
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,13,1,hi frnd best way avoid missunderstd wit belov one,49
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,13,3,great escap fanci bridg need lager see tomo,43
ham,Yes :)it completely in out of form:)clark also utter waste.,59,10,2,ye complet formclark also utter wast,36
ham,"Sir, I need AXIS BANK account no and bank address.",50,10,2,sir need axi bank account bank address,38
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,20,12,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,69
ham,What time you coming down later? ,33,6,1,time come later,15
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,21,5,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,70
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,11,6,well im gonna finish bath goodfin night,39
ham,Let me know when you've got the money so carlos can make the call,65,14,1,let know youv got money carlo make call,39
ham,U still going to the mall?,26,6,1,u still go mall,15
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,30,1,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth,82
ham,Text her. If she doesnt reply let me know so i can have her log in,66,16,2,text doesnt repli let know log,30
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,25,4,hi spoke maneesha v wed like know satisfi experi repli toll free ye,67
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,31,4,lift hope offer money need especi end month approach hurt studi anyway gr weekend,81
ham,Lol no. U can trust me.,23,6,3,lol u trust,11
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,13,3,ok gentleman treat digniti respect,34
ham,"He will, you guys close?",24,5,1,guy close,9
ham,Going on nothing great.bye,26,4,2,go noth greatby,15
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,32,1,hello handsom find job lazi work toward get back net mummi where boytoy miss,76
ham,"Haha awesome, be there in a minute",34,7,1,haha awesom minut,17
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,24,1,pleas call custom servic repres freephon ampm guarante å£ cash å£ prize,71
ham,Have you got Xmas radio times. If not i will get it now,55,13,2,got xma radio time get,22
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,19,6,ju reach home go bath first si use net tell u finish k,54
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,10,5,uniqu enough find th august,27
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,38,6,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week,107
ham,Hi :)finally i completed the course:),37,6,1,hi final complet cours,22
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,22,3,stop howev suggest stay someon abl give or everi stool,54
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,19,2,hope youv settl new school year wishin gr day,45
ham,Gud mrng dear hav a nice day,28,7,1,gud mrng dear hav nice day,26
ham,Did u got that persons story,28,6,1,u got person stori,18
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,14,1,hamster dead hey tmr meet pm orchard mrt,40
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,30,2,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,67
ham,"Found it, ENC  &lt;#&gt; , where you at?",40,8,1,found enc ltgt,14
ham,I sent you  &lt;#&gt;  bucks,28,5,1,sent ltgt buck,14
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,18,1,hello darlin ive finish colleg txt u finish u love kate xxx,59
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,26,4,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt,107
ham,Goodmorning sleeping ga.,24,3,2,goodmorn sleep ga,17
ham,U call me alter at 11 ok.,25,7,2,u call alter ok,15
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,64,13,4,ìï say like dat dun buy ericsson oso cannot oredi lar,53
ham,"Aight yo, dats straight dogg",28,5,1,aight yo dat straight dogg,26
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,13,1,pleas give us connect today ltdecimalgt refund bill,51
ham,Both :) i shoot big loads so get ready!,39,9,1,shoot big load get readi,24
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,14,3,what bruv hope great break reward semest,40
ham,Home so we can always chat,26,6,1,home alway chat,15
ham,K:)k:)good:)study well.,23,2,2,kkgoodstudi well,16
ham,Yup... How Ì_ noe leh...,24,5,7,yup ì noe leh,13
ham,Sounds great! Are you home now?,31,6,1,sound great home,16
ham,Finally the match heading towards draw as your prediction.,58,9,2,final match head toward draw predict,36
ham,Tired. I haven't slept well the past few nights.,48,9,3,tire havent slept well past night,33
ham,Easy ah?sen got selected means its good..,41,7,3,easi ahsen got select mean good,31
